Area served,Airport name,IATA,ICAO,Airport type,Operational,Owned/operated by,State,Scheme Covered,Latitude,Longitude,Demand Type,Airport Category,2022,2023,2024,2025,Per Capita Income
Bikaner,Bikaner Airport,BKB,VIBK,Domestic (CE),Yes,MoD and AAI,Rajasthan,RCS-UDAN,28.070601,73.207199,,,16183.0,21288.0,4694.0,13714.0,185053.0
Jaipur,Jaipur International Airport,JAI,VIJP,International,Yes,Adani Group,Rajasthan,,26.8242,75.812202,,,2943171.0,4764382.0,5466552.0,6057249.0,185053.0
Jaisalmer,Jaisalmer Airport,JSA,VIJR,Domestic (CE),Yes,MoD and AAI,Rajasthan,RCS-UDAN & Krishi-Udan,26.8887,70.864998,,,90343.0,99468.0,135529.0,120714.0,185053.0
Jodhpur,Jodhpur Airport,JDH,VIJO,Domestic (CE),Yes,MoD and AAI,Rajasthan,Krishi-Udan,26.251100540161133,73.04889678955078, Leisure,Mini Hub,768227.0,899403.0,1091127.0,1041817.0,185053.0
Kankroli,Kankroli Airstrip,NAN,,State/Private,No,State Government,Rajasthan,,0.0,0.0,,,138981.0,58709.0,40864.0,86361.0,185053.0
Kota,Kota Airport,KTU,VIKO,Domestic,No,AAI,Rajasthan,,25.160200119,75.84559631350001,,,117.0,192.0,279.0,292.0,185053.0
Udaipur,Maharana Pratap Airport,UDR,VAUD,Domestic,Yes,AAI,Rajasthan,,24.6177005768,73.89610290530001, Leisure,Mini Hub,917938.0,1355215.0,1503535.0,1650607.0,185053.0
Uttarlai,Uttarlai Air Force Station,NAN,VIUT,Military,Yes,IAF,Rajasthan,,0.0,0.0,,,,,,0.0,185053.0
Gangtok,Pakyong Airport,PYG,VEPY,Domestic,Yes,AAI,Sikkim,RCS-UDAN & Krishi-Udan,27.2313,88.587196,,,44740.0,15707.0,8417.0,11111.0,638871.6501
Chennai,Chennai International Airport,MAA,VOMM,International,Yes,AAI,Tamil Nadu,,12.990005,80.169296,,,9533301.0,18571393.0,21207262.0,22411290.0,361619.0
Coimbatore,Coimbatore International Airport,CJB,VOCB,International,Yes,AAI,Tamil Nadu,Krishi-Udan,11.03,77.043404, Industrial,Mini Hub,1285922.0,2557263.0,2904611.0,3253190.0,361619.0
Madurai,Madurai Airport,IXM,VOMD,Custom,Yes,AAI,Tamil Nadu,,9.83450984955,78.09339904790001, Pilgrimage,Mini Hub,679781.0,1138005.0,1285976.0,1399046.0,361619.0
Salem,Salem Airport,SXV,VOSM,Domestic,Yes,AAI,Tamil Nadu,RCS-UDAN,11.78330039978,78.06559753418,,,2577.0,318.0,42568.0,130132.0,361619.0
Thoothukkudi,Tuticorin Airport,TCR,VOTK,Domestic,Yes,AAI,Tamil Nadu,,8.724241,78.025803,,,135363.0,202642.0,199761.0,230151.0,361619.0
